NO,KR_NAME,EN_NAME,DRCTR,MAKR,INCME,DISTB,MK_DATE,COUNTRY,SCRN_COUNT,VIEW_COUNT,GENRE,GRAND,POSTER,TRAILER,STORY,RUN_TIME
12,한산: 용의 출현,Hansan: Rising Dragon,김한민,(주)빅스톤픽쳐스,N/A,롯데컬처웍스(주)롯데엔터테인먼트,2022-07-27,KR,0,0,액션,R12,Hansan Rising Dragon.webp,"https://youtu.be/FLNUcZxCT6k, https://youtu.be/GduEtmvwcI0","나라의 운명을 바꿀 압도적 승리의 전투가 시작된다! 1592년 4월, 조선은 임진왜란 발발 후 단 15일 만에 왜군에 한양을 빼앗기며 절체절명의 위기에 놓인다. 조선을 단숨에 점령한 왜군은 명나라로 향하는 야망을 꿈꾸며 대규모 병력을 부산포로 집결시킨다. 한편, 이순신 장군은 연이은 전쟁의 패배와 선조마저 의주로 파천하며 수세에 몰린 상황에서도 조선을 구하기 위해 전술을 고민하며 출전을 준비한다. 하지만 앞선 전투에서 손상을 입은 거북선의 출정이 어려워지고, 거북선의 도면마저 왜군의 첩보에 의해 도난당하게 되는데… 왜군은 연승에 힘입어 그 우세로 한산도 앞바다로 향하고, 이순신 장군은 조선의 운명을 가를 전투를 위해 필사의 전략을 준비한다.1592년 여름, 음력 7월 8일 한산도 앞바다, 압도적인 승리가 필요한 조선의 운명을 건 해상 최고의 해전이 펼쳐진다.",150
13,미니언즈2,Minions: The Rise of Gru,카일 발다,N/A,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-07-20,EN,0,0,애니메이션,ALL,Minions The Rise of Gru.webp,"https://youtu.be/qoXf5Zr3BhA, https://youtu.be/YKvx-igUpYc","오랜마니언! 세계 최고의 슈퍼 악당을 꿈꾸는 미니보스 그루와 그를 따라다니는 미니언들.어느 날 그루는 최고의 악당 조직 6의 마법 스톤을 훔치는데 성공하지만 뉴페이스 미니언 오토의 실수로 스톤을 잃어버리고 빌런6에게 납치까지 당한다. 미니보스를 구하기 위해 잃어버린 스톤을 되찾아야 하는 오토, 그리고 쿵푸를 마스터해야 하는 케빈, 스튜어트, 밥! 올여름 극장가를 점령할 MCU 미니언즈 시네마틱 유니버스 3가 돌아온다!",87
14,귀멸의 칼날: 장구저택 편,Demon Slayer -Kimetsu no Yaiba-: Tsuzumi Mansion Arc,소토자키 하루오,N/A,애니맥스 브로드캐스팅 코리아 유한회사,(주)박수엔터테인먼트,2022-09-15,JP,100,0,애니메이션,R15,Demon Slayer Kimetsu no Yaiba Tsuzumi Mansion Arc.webp,,"꺽쇠 까마귀가 일러준 다음 임무지는 남남동. 임무로 향하는 도중 탄지로는 최종 선별에서 만난 동기 검사인 아가츠마 젠이츠를 우연히 만난다. 젠이츠의 소극적인 태도에 애를 태우면서, 탄지로는 산의 오지에 있는 저택에 다다른다. 그곳에는 장구로 저택을 변화시킬 수 있는 능력을 가진 혈귀의 모습이 보이고, 심지어 멧돼지 얼굴의 기괴한 남자가 나타나는데…",87
15,주연,Ju Yeon,송원준,영화사 ?,N/A,(주)마노엔터테인먼트,2022-09-29,KR,20,993,드라마,R12,NA.jpg,https://youtu.be/oakPRl1FWNQ,"동생이 사라졌다. 아주 오래전부터.. 작은 분식집을 운영하는 부모님과 평범하지만 행복한 하루를 보내는 주혁과 주연. 어느 날, 살인사건이 발생했다는 소식과 함께 주연이 행방불명 되고, 사라진 주연의 흔적을 쫓을수록 주혁은 알 수 없는 진실들을 마주하게 된다.",130
16,놉,Nope,조던 필,N/A,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-08-17,EN,0,409,미스터리,R12,Nope.webp,"https://youtu.be/a7Liol7o9H8, https://youtu.be/N03Y5xQp0Cw, https://youtu.be/JllzxDFhhnI","그것은 우리 위에 있다. 거대하고, 주목받길 원하고, 미쳤다. 나쁜 기적이라는 것도 있을까?",105
17,DC 리그 오브 슈퍼-펫,DC League of Super-Pets,"자레드 스턴,샘 레빈",N/A,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-08-10,EN,585,105,애니메이션,ALL,DC League of Super Pets.webp,"https://youtu.be/X6o9bPZBhUk, https://youtu.be/Li8c20yy48M, https://youtu.be/rBRKMIHx310","하룻강아지 시절, 슈퍼맨과 함께 크립톤 행성에서 지구로 오게 된 슈퍼독 ‘크립토’ 환상의 콤비 슈퍼맨과 힘을 합쳐 메트로폴리스를 지키며 평화로운 일상을 보내던 어느 날, 악당 ‘렉스 루터’와 기니피그 ‘룰루’의 계략으로 슈퍼맨과 저스티스 리그의 슈퍼 히어로들이 위험에 처한다. 절체절명의 순간에 초능력을 잃어버리고만 ‘크립토’는 보호소에 떨어진 크립토나이트의 힘으로 어쩌다 슈퍼 펫이 된 유기동물 철벽방어 댕댕이 ‘에이스’, 위대한 꿀꿀이 ‘피비’, 초고속 거북이 ‘머튼’, 썬더볼트 다람쥐 ‘칩’에게 도움을 요청하는데…",82
18,썬다운,Sundown,미셸 프랑코,N/A,M&M 인터내셔널,M&M 인터내셔널,2022-08-31,FR,45,70,미스터리,R15,Sundown.webp,https://youtu.be/bf-FyhaB-pQ,부유한 영국인 닐은 여동생 앨리스 가족과 멕시코 바닷가에서 휴가를 즐기는 중 어머니 사망 소식을 듣는다. 닐은 여권을 잃어버렸다며 가족들을 먼저 영국으로 보내고 자신은 유유히 어느 해변으로 들어가 일광욕을 즐긴다. 영문을 알 수 없는 그의 일탈은 예상치 못한 사건을 불러일으키고 마는데…,111
19,암스테르담 바이스,Amsterdam Vice Baantjer het begin,아르네 투넨,N/A,(주)씨네마블랙,(주)씨네마블랙,2022-09-29,NL,5,60,액션,R15,Amsterdam Vice Baantjer het begin.webp,https://youtu.be/UBlynjLmbqI,1980년대 왕가에 대한 반감이 극에 치닫기 시작하고 일부 극단 주의자들의 테러가 시작된다. 그리고 이를 틈탄 거대한 음모를 막기 위해 경찰내에 특수 수사대가 투입된다.,88
20,풀타임,Full Time,N/A,N/A,주식회사 슈아픽처스,주식회사 슈아픽처스,2022-08-18,FR,59,55,드라마,ALL,NA.jpg,https://youtu.be/rnnK_1ObKW4,"파리 교외에서 홀로 두 아이를 기르는 쥘리는 파리 시내의 호텔 룸메이드로 일하며 장거리 출퇴근을 하고 있다. 그녀는 직장 상사 몰래 원하는 직장에 면접을 보게 되고 새로운 삶이 열릴 거라 기대한다. 그런데 전국적인 교통 파업이 발생하여 대중교통 시스템이 마비되자 자신의 직장도, 새롭게 얻으려는 직장도, 자신의 가정도, 아슬아슬하게 부여잡고 있던 일상의 모든 것이 엉망이 될 위기에 처한다. 오늘도 지각 위기에 놓여 절박한 표정으로 파리 시내를 전력 질주하는 쥘리.싱글맘의 전쟁 같은 삶에 과연 평화와 여유가 찾아올까?",124
21,기도의 숨결,Their Breath,"세실 베스노,이반 마사카",N/A,(주)영화사 진진,(주)영화사 진진,2022-08-18,FR,14,52,다큐멘터리,ALL,NA.jpg,https://youtu.be/xYp4X97TnVc,폴 세잔이 사랑한 알프스 남프랑스 모든 것이 그저 고요하고 아름다운 이곳에 평생을 서약한 성 베네딕도회 수녀들이 있다 “기도하고 일하라(Ora et Labora)” 일하고 먹고 노래하는 모든 호흡에침묵의 기도가 깃든다.,111
22,큐어,CURE,구로사와 기요시,N/A,M&M 인터내셔널,M&M 인터내셔널,2022-07-06,JP,55,52,공포(호러),R15,CURE.webp,https://youtu.be/gaT6VHRSrvQ,"도쿄 지역에서 동일한 방식의 엽기적인 연쇄 살인사건이 발생한다. 놀라운 것은 체포된 범인들이 하나같이 회사원, 교사, 경찰, 의사 등 평범한 사람들이라는 것. 평소 아무 문제가 없던 사람들이 똑같은 방식으로 살인을 저지른 것에 의문을 품은 다카베 형사(야쿠쇼 코지)는 이들이 모두 한 남자를 만난 후 범행을 저질렀다는 사실을 알게 된다.",93
23,룸 쉐어링,My Perfect Roommate,이순성,주식회사 티에스나린시네마,N/A,"주식회사 엔픽플,트윈플러스파트너스(주)",2022-06-22,KR,122,40,드라마,ALL,My Perfect Roommate.webp,https://youtu.be/rq7t09t0DGA,"새벽부터 다시 새벽까지 알바 스케줄로 꽉 찬 대학생 지웅은 월세를 아끼려 룸 쉐어링을 신청한다. 도착하자마자 보게 된 건 온갖 라인으로 꽉 채워진 집안 꼬락서니. 그리고 까다롭고 별난 할머니 금분의 각종 금기 사항?들! 금분은 밥은 각자 해결, 물과 전기 절약 필수, 정갈하게 구분해둔 알록달록 각자의 라인 안에서만 생활하기 등 나혼산 라이프를 꿈꾸던 지웅에게는 너무나 불가능한 규칙들을 읊기 시작하고, 지웅은 울며 겨자 먹기로 깐깐한 규칙들을 받아들이기로 하는데... 어디 하나 닮은 구석 없는 금분과 지웅의 물러설 수 없는 동거가 시작된다!",79
24,당신의 이웃은 친절하지 않다,Oh My God Bless You,안드로,(주)빅픽처,N/A,주식회사 씨엠닉스,2022-09-15,KR,10,38,미스터리,R15,NA.jpg,https://youtu.be/YxyPQHr7VMI,남쪽 끝 바닷가 마을. 성당의 고해소에서 여자 신부가 권태로운 표정을 짓고 있다. 신자들의 지루한 고백들만 이어지던 어느날 갑작스런 사망 사건을 시작으로 마을 전체가 죄악으로 물들기 시작한다.,159
25,엘비스,Elvis,바즈 루어만,N/A,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-07-13,EN,665,36,드라마,R15,Elvis.webp,"https://youtu.be/p060n0SI5Rw, https://youtu.be/IftlUkSt5BQ, https://youtu.be/HkY_UQdb6jk",세계 최초의 아이돌 시대의 아이콘 영원한 슈퍼스타 엘비스의 모든 것이 뜨겁게 펼쳐진다! 미국 남부 멤피스에서 트럭을 몰며 음악의 꿈을 키우던 19살의 무명 가수 엘비스. 지역 라디오의 작은 무대에 서게 된 엘비스는 어디서도 본 적 없는 몸짓과 퍼포먼스로 무대를 압도하고 그에게 매료된 관객들에게 뜨거운 환호성을 받는다. 쇼 비즈니스 업계에서 일하던 톰 파커는 이를 목격하고 엘비스에게 스타로 만들어주겠다고 약속하며 함께할 것을 제안한다. 자신이 자라난 동네에서 보고 들은 흑인음악을 접목시킨 독특한 음색과 리듬 강렬한 퍼포먼스 화려한 패션까지 그의 모든 것이 대중을 사로잡으며 엘비스는 단숨에 스타의 반열에 올라선다. 그러나 시대를 앞서 나간 치명적이고 반항적인 존재감은 혼란스러운 시대 상황과 갈등을 빚게 되고 지금껏 쌓아온 모든 것이 한순간에 무너질 수 있다고 압박하는 톰 파커까지 가세해 엘비스는 그의 뜻과는 다른 선택을 하게 된다. 이로 인해 평생을 함께한 매니저 톰 파커와의 관계도 조금씩 어긋나기 시작하는데…,105
26,카고,Cargo,제임스 쿨렌 브레삭,N/A,(유)조이앤시네마,와이드 릴리즈(주),2022-09-00,EN,217,33,애니메이션,ALL,Cargo.webp,https://youtu.be/W5QJW0M5pik,서구권 영화좀비 사태가 벌어진 세상. 자동차를 타고 달아나다 숲에서 사고가 났고 정신을 차려보니 이미 아내는 좀비가 되어있었다. 주인공 아버지는 뒷 자석에 있는 갓난 아기 딸을 사투 끝에 빼오는데 이 과정에서 불행히도 팔을 물리고 만다. 하지만 침착하게 상황을 판단해 지도를 파악하여 팔에 마커로 메모를 하고 딸을 등에 메고 18km 떨어진 안전 지대를 향해 출발한다.,129
27,블레이즈,Blaze,에단 호크,N/A,주식회사 더쿱,주식회사 더쿱,2022-09-07,EN,5,28,멜로/로맨스,R15,Blaze.webp,NA.jpg,당신은 내 삶이고 음악이야 작은 술집을 떠돌며 노래를 부르던 컨트리 싱어송라이터 블레이즈. 그는 따뜻한 영혼을 가진 여인 시빌을 만나 운명같은 사랑을 시작한다. ,90
